id;element_id;name;type;value;entity_id;worker_run_id;id;created;updated;name;type;polygon;image_id;rotation_angle;mirrored;worker_run_id;confidence
80c24c1e-3ec5-41a3-a4ad-380b594b0440;652d479e-b4e7-4750-9fb1-b3e82d986404;Lien;url;"https://gallica.bnf.fr/ark:/12148/bpt6k46058061/f1.image.r=maréchal%20Foch?rk=343349;2";;;652d479e-b4e7-4750-9fb1-b3e82d986404;1750065895.93663;1750065895.93664;SHDGR__GR_2_K_247_193/SHDGR__GR_2_K_247_193_013__0002.jpg;page;[[0, 0], [0, 2096], [2888, 2096], [2888, 0], [0, 0]];4b2d97a7-6da3-4dda-b7fc-bf88c485e29b;0;0;6b3137aa-197c-4c74-8f86-87898f75c56f;
bd9d3e2e-7d46-4c0e-ab9a-de9f56f85dba;db5e9bdb-23f8-4762-80be-fc9412fae1a2;Lien;url;"https://gallica.bnf.fr/ark:/12148/bpt6k4605279v/f1.image.r=signature%20du%20trait%C3%A9%20de%20paix%20de%20Lausannescheurer?rk=42918;4";;;db5e9bdb-23f8-4762-80be-fc9412fae1a2;1750065896.33793;1750065896.33794;SHDGR__GR_2_K_247_193/SHDGR__GR_2_K_247_193_014__0001.jpg;page;[[0, 0], [0, 2652], [3552, 2652], [3552, 0], [0, 0]];cba21cb3-200c-45b6-add2-c092a8b7cb00;0;0;6b3137aa-197c-4c74-8f86-87898f75c56f;
15e7a266-c312-45e1-ac50-0ada275dbea6;d96b0f6b-4f1f-4fd9-aca4-5e741677f632;Lien;url;https://gallica.bnf.fr/ark:/12148/bpt6k6864156r/f16.item.r=Hama;;;d96b0f6b-4f1f-4fd9-aca4-5e741677f632;1753010962.66929;1753010962.6693;SHDGR__GR_2_K_247_158/SHDGR__GR_2_K_247_158_253__0002.jpg;page;[[0, 0], [0, 2112], [2864, 2112], [2864, 0], [0, 0]];754600a3-60f7-4302-b310-afc5c4ce4931;0;0;5ee9ab36-644b-4683-b4d0-9f8e79a52a69;
e878189b-cbf6-43fe-a104-385aa49f729a;98d520f9-89b8-4ada-8b82-5dea77e38f85;Lien;url;https://gallica.bnf.fr/ark:/12148/bpt6k6864156r/f15.item.r=noria;;;98d520f9-89b8-4ada-8b82-5dea77e38f85;1753010963.25133;1753010963.25134;SHDGR__GR_2_K_247_158/SHDGR__GR_2_K_247_158_254__0002.jpg;page;[[0, 0], [0, 2100], [2864, 2100], [2864, 0], [0, 0]];0d9f80ca-2611-4806-af9a-dca44c048a66;0;0;5ee9ab36-644b-4683-b4d0-9f8e79a52a69;
5abd9136-6036-4ad8-94a8-60cec670d235;049f2e8d-1f44-4403-846d-be7ef6c15564;Lien;url;https://gallica.bnf.fr/ark:/12148/bpt6k68641612/f11.item.r=c%C3%A8dres;;;049f2e8d-1f44-4403-846d-be7ef6c15564;1753010965.92283;1753010965.92284;SHDGR__GR_2_K_247_158/SHDGR__GR_2_K_247_158_258__0002.jpg;page;[[0, 0], [0, 2084], [2864, 2084], [2864, 0], [0, 0]];bcecf2d1-6fa0-47ba-b04d-5d85ef8d3936;0;0;5ee9ab36-644b-4683-b4d0-9f8e79a52a69;
0f5c9377-d599-4bc4-82fa-592d18a7726a;282d9108-e054-4c5d-9aa3-cb092955aaa0;Lien;url;"https://gallica.bnf.fr/ark:/12148/bpt6k68641612/f10.image.r=for%C3%AAt%20de%20cedres?rk=171674;4";;;282d9108-e054-4c5d-9aa3-cb092955aaa0;1753010994.96045;1753010994.96046;SHDGR__GR_2_K_247_158/SHDGR__GR_2_K_247_158_293__0002.jpg;page;[[0, 0], [0, 2888], [2140, 2888], [2140, 0], [0, 0]];9a72ae99-03ee-4062-ad7d-55685beafcc1;0;0;5ee9ab36-644b-4683-b4d0-9f8e79a52a69;
3dfe5902-10bc-4870-aaf0-8e186ee93ed1;a8ba7935-d0cc-4d02-b822-d7ecc3292de3;Lien;url;https://gallica.bnf.fr/ark:/12148/bpt6k6522759m/f7.double.r=Roger%20casement;;;a8ba7935-d0cc-4d02-b822-d7ecc3292de3;1756713569.32165;1756713569.32166;SHDGR__GR_2_K_247_147_001__0002.jpg;page;[[0, 0], [0, 2740], [3468, 2740], [3468, 0], [0, 0]];03b43900-f2b3-4626-8476-3a1a13d90fd7;0;0;7f599895-ce6b-4a0b-a933-e4704c5b0175;
cabd65e8-6a00-4434-9149-f15c73b2f11f;ade22d5b-0d74-4977-8a6d-2d938f093434;Lien;url;"https://gallica.bnf.fr/ark:/12148/bd6t51442331/f8.image.r=markievicz?rk=21459;2";;;ade22d5b-0d74-4977-8a6d-2d938f093434;1756713587.49053;1756713587.49054;SHDGR__GR_2_K_247_147_026__0002.jpg;page;[[0, 0], [0, 3432], [2184, 3432], [2184, 0], [0, 0]];ca76e5f4-e9f0-465a-9c84-6273d3c8aa62;0;0;7f599895-ce6b-4a0b-a933-e4704c5b0175;
7f3a49f6-37ec-45fb-97d9-3ff8d4892bde;bc2d5cc6-70ba-4170-97df-b20d315668ba;Lien;url;https://gallica.bnf.fr/ark:/12148/bpt6k4606783s/f6.item.r=Roger%20casement;;;bc2d5cc6-70ba-4170-97df-b20d315668ba;1756713588.78276;1756713588.78277;SHDGR__GR_2_K_247_147_028__0002.jpg;page;[[0, 0], [0, 3484], [2732, 3484], [2732, 0], [0, 0]];ee6772b6-6fed-4f56-b10f-1cf355893f20;0;0;7f599895-ce6b-4a0b-a933-e4704c5b0175;
a0dce9f1-18e3-4615-84f0-63d6d75435bd;7f598a3f-879e-4037-81f5-473b10886822;Lien;url;"https://gallica.bnf.fr/ark:/12148/bd6t51442331/f8.image.r=markievicz?rk=21459;2";;;7f598a3f-879e-4037-81f5-473b10886822;1756713590.21457;1756713590.21458;SHDGR__GR_2_K_247_147_030__0002.jpg;page;[[0, 0], [0, 2652], [3428, 2652], [3428, 0], [0, 0]];b8bce56e-97cc-4763-9360-ff4fbe22a512;0;0;7f599895-ce6b-4a0b-a933-e4704c5b0175;
